"Latitude","Longitude","U_S_R_I"
44.8672811,-71.3006396,"58_021"
44.9972951,-71.3746691,"58_022"
44.0969107,-71.3537309,"58_116"
39.8314157,-75.1462189,"59_001"
39.3852634,-75.3494715,"59_002"
39.5314149,-75.1074594,"59_003"
40.1672217,-74.0627799,"59_013"
40.6572687,-75.0997599,"59_020"
41.3073947,-74.6772749,"59_021"
40.9884812,-74.3851971,"59_022"
40.7140195,-74.7198716,"59_023"
40.6556297,-74.4044889,"59_024"
39.7511224,-74.585006,"59_028"
39.4859597,-74.5617049,"59_029"
39.2953945,-74.5547951,"59_030"
40.8833603,-75.0589721,"59_116"
36.1676097,-107.7013619,"60_002"
36.5200127,-106.3360529,"60_003"
36.0797837,-105.7975849,"60_004"
36.5885417,-104.1164099,"60_005"
36.7278337,-103.5750419,"60_006"
35.5233697,-106.0592719,"60_009"
35.5743487,-105.6755989,"60_010"
34.6383511,-108.4498979,"60_013"
34.1098564,-104.2297055,"60_017"
34.0200567,-103.7367849,"60_018"
33.9262784,-108.1876061,"60_019"
33.749487,-107.3217132,"60_020"
33.6891907,-105.8493706,"60_022"
33.0896297,-104.8270959,"60_023"
33.3149504,-103.6280881,"60_024"
32.3245289,-108.1067589,"60_025"
32.3802337,-106.7294539,"60_027"
32.9576087,-105.7457016,"60_028"
32.6557967,-104.3957139,"60_029"
31.9280116,-108.9941583,"60_031"
36.6069631,-108.9214683,"60_051"
35.9792717,-103.6855999,"60_056"
35.7466305,-106.779464,"60_059"
35.6605096,-105.3361242,"60_060"
34.5074572,-106.1909023,"60_065"
34.4636507,-103.4776839,"60_068"
33.644134,-108.7910908,"60_069"
33.7152917,-106.9502237,"60_071"
33.6810096,-105.0706138,"60_072"
33.7433287,-103.6484449,"60_074"
32.3972197,-108.7266319,"60_075"
32.9200137,-107.6265249,"60_076"
32.8420703,-103.1450556,"60_080"
31.8359947,-107.5695189,"60_082"
35.2666767,-108.1239789,"60_107"
35.6552916,-104.3751645,"60_111"
35.4023345,-103.5092263,"60_112"
34.1107524,-106.8715622,"60_115"
32.5335077,-107.4876559,"60_126"
32.4717827,-103.2960129,"60_130"
36.6066007,-104.7260509,"60_155"
33.9958055,-105.1106501,"60_166"
33.1786297,-107.0297999,"60_221"
42.4363317,-74.1520169,"61_022"
42.7318997,-74.1951349,"61_026"
42.569391,-75.156018,"61_029"
42.3472227,-75.9366669,"61_030"
42.3180237,-75.5570359,"61_031"
42.036872,-76.036148,"61_044"
42.282132,-77.939947,"61_045"
42.904651,-77.118887,"61_047"
42.7793497,-77.2581629,"61_048"
42.665781,-77.225107,"61_049"
42.6805707,-78.8216099,"61_053"
42.619592,-78.178397,"61_055"
42.2769437,-78.8989789,"61_056"
42.5957057,-78.3611669,"61_057"
42.624922,-78.103787,"61_058"
42.0548007,-78.9408579,"61_059"
43.0697617,-78.8506549,"61_064"
43.2572547,-79.0022969,"61_065"
43.261571,-76.684878,"61_069"
43.662991,-75.078218,"61_073"
43.4558097,-75.9023929,"61_075"
43.199431,-73.312309,"61_089"
43.217821,-73.409239,"61_090"
43.5327757,-73.7953919,"61_093"
44.4354227,-75.0557089,"61_097"
44.4319917,-74.1807169,"61_100"
42.6074657,-77.4085679,"61_110"
42.084342,-78.584377,"61_111"
42.0781957,-74.9852279,"61_121"
42.5913477,-74.9252479,"61_123"
34.95713,-76.65516,"63_002"
34.1327657,-77.8775469,"63_003"
34.5342189,-78.0716243,"63_004"
34.3209605,-78.5992368,"63_005"
35.9691437,-77.4434709,"63_010"
35.2819414,-77.7112775,"63_011"
35.6755372,-78.3220803,"63_012"
35.4161407,-78.0698959,"63_013"
35.9898149,-79.4688523,"63_014"
35.917637,-79.7044966,"63_015"
35.4291357,-83.8316649,"63_022"
36.2540309,-77.9795614,"63_024"
36.0593305,-78.4863356,"63_025"
36.2898447,-80.6415019,"63_027"
35.316016,-83.2186082,"63_030"
36.0168463,-81.8815194,"63_031"
33.9225168,-78.2125169,"63_101"
35.8639187,-75.8611599,"63_107"
35.6919219,-76.9896438,"63_109"
35.3743051,-81.6361686,"63_118"
35.8278747,-81.6405339,"63_119"
35.5865273,-82.4803436,"63_121"
36.3766523,-79.8498737,"63_126"
34.9312881,-76.8406017,"63_202"
34.5909333,-77.7928721,"63_204"
34.4014777,-78.0548779,"63_205"
35.5245603,-78.9085878,"63_212"
35.3169181,-78.0169365,"63_213"
35.9287265,-80.7208082,"63_217"
35.5089219,-81.4564775,"63_218"
35.9105725,-82.6486108,"63_220"
35.9991587,-77.8356539,"63_224"
36.0899346,-78.9520912,"63_225"
35.1020747,-77.1960089,"63_311"
35.0090297,-79.3092799,"63_900"
35.0399431,-83.2023406,"63_910"
46.1531849,-97.6746757,"64_001"
46.4854717,-97.0100549,"64_002"
46.3406907,-98.6828159,"64_004"
46.8060287,-99.4688039,"64_005"
47.845638,-97.6029243,"64_007"
47.9619307,-97.4077439,"64_008"
47.0807973,-99.0545676,"64_012"
48.4560524,-97.5356201,"64_014"
48.2818817,-98.7246389,"64_016"
48.7474635,-99.6133701,"64_017"
48.2672307,-99.3513109,"64_018"
47.2727187,-100.5587399,"64_019"
48.4447167,-101.6472319,"64_023"
48.8647667,-101.5405509,"64_024"
48.2692787,-102.4614329,"64_026"
48.4004127,-100.6573939,"64_028"
46.198459,-103.431806,"64_030"
47.2340597,-103.3213579,"64_032"
47.6171277,-103.5450979,"64_033"
45.9442265,-101.6387111,"64_034"
46.1041487,-102.0608219,"64_036"
46.7758047,-101.9283519,"64_037"
48.5899857,-103.0592269,"64_038"
48.6621167,-102.6906819,"64_039"
47.7465897,-101.5077209,"64_041"
47.6462687,-100.0542839,"64_042"
46.6039277,-100.1056369,"64_043"
48.8496871,-100.2489187,"64_044"
46.7251818,-98.797372,"64_103"
46.4874487,-101.4765709,"64_129"
41.3867557,-84.1216579,"66_002"
41.2506217,-82.2354939,"66_011"
41.6803821,-80.7420743,"66_021"
41.3710349,-80.9900079,"66_022"
40.9809757,-84.1972889,"66_025"
40.246894,-83.2978987,"66_035"
40.4606653,-82.6249903,"66_039"
40.8786396,-82.1083506,"66_040"
40.4600977,-82.7639629,"66_042"
39.9930387,-82.0294509,"66_043"
40.2788528,-80.7678799,"66_056"
39.3611652,-83.8637013,"66_064"
39.1527143,-82.9107789,"66_074"
39.9655986,-82.5305735,"66_075"
39.2309737,-82.2853793,"66_076"
39.8938347,-81.6718899,"66_083"
38.6696358,-83.4163514,"66_086"
41.5440972,-83.4580032,"66_107"
41.3256857,-81.0505989,"66_116"
38.6865963,-82.6150863,"66_901"
39.3754092,-82.7626109,"66_904"
40.6382548,-82.3344147,"66_908"
34.9151007,-99.7137839,"67_010"
35.8426817,-94.8876259,"67_011"
35.7262277,-96.1218109,"67_015"
35.551189,-97.478191,"67_016"
35.1750957,-97.4236139,"67_017"
36.9292257,-94.6982489,"67_022"
36.9173437,-95.1256319,"67_023"
36.4091897,-95.8134099,"67_024"
36.5876204,-102.7866028,"67_034"
34.9870807,-99.9762579,"67_056"
35.2307747,-94.4560837,"67_057"
35.9702777,-96.2929845,"67_059"
35.3485437,-98.3945919,"67_061"
36.6516197,-98.1634589,"67_067"
36.7764517,-101.1876829,"67_070"
36.7771067,-102.2655719,"67_071"
34.3763967,-97.8588019,"67_106"
36.3614547,-96.0493689,"67_125"
34.7654129,-94.6223207,"67_900"
34.2484599,-94.78207,"67_905"
45.3836599,-122.7875574,"69_002"
45.0787281,-121.9218136,"69_003"
45.72192,-116.7795945,"69_008"
44.2168556,-119.2408498,"69_013"
43.3663377,-123.5037309,"69_018"
43.9074737,-122.5593339,"69_019"
43.1649665,-120.6637819,"69_021"
42.6688651,-120.793358,"69_029"
45.2809207,-117.2062679,"69_035"
45.2552468,-122.2563686,"69_041"
45.6793737,-118.7501219,"69_046"
44.4171957,-119.1134189,"69_048"
42.0147517,-119.4780049,"69_061"
42.9576667,-118.8677979,"69_062"
46.0240767,-123.368287,"69_142"
44.4919169,-121.7938709,"69_147"
45.3325047,-123.6071629,"69_201"
45.2220066,-121.3798835,"69_203"
44.2953092,-122.2887574,"69_210"
44.4616613,-120.1210669,"69_212"
43.6397927,-122.3059389,"69_219"
42.6188696,-119.6736929,"69_230"
44.9709099,-122.9589506,"69_237"
42.5779778,-119.5878481,"69_254"
45.7909747,-122.8698811,"69_904"
41.6375228,-80.4945401,"72_002"
41.0816642,-80.3392441,"72_003"
41.7146604,-80.3204561,"72_004"
41.8051937,-79.9582379,"72_005"
41.5335247,-79.3470999,"72_006"
41.7528857,-79.9481349,"72_008"
41.6359508,-79.0433273,"72_010"
41.3997727,-79.2031479,"72_012"
41.6976452,-78.08346,"72_014"
41.5603287,-78.8505629,"72_016"
41.7379447,-78.1593319,"72_020"
41.2725507,-77.2415709,"72_021"
41.6588017,-77.1203469,"72_022"
41.553018,-77.9672237,"72_023"
41.0712247,-77.2939995,"72_025"
41.6430967,-77.9110382,"72_028"
41.3121387,-76.6638159,"72_029"
41.8749574,-76.903319,"72_030"
41.9588688,-76.0658601,"72_033"
41.4410897,-76.9073399,"72_034"
41.2289,-76.4559998,"72_035"
41.1152527,-76.4792479,"72_036"
41.7057127,-75.7927799,"72_038"
41.9413666,-75.6172024,"72_043"
40.8479343,-79.5569899,"72_050"
40.4897627,-79.4811859,"72_052"
40.9651065,-79.7089598,"72_053"
40.6673234,-79.2349941,"72_054"
40.4757717,-78.9943469,"72_057"
40.335141,-78.329529,"72_059"
40.9149712,-78.0608234,"72_060"
40.428119,-78.203532,"72_061"
40.4467888,-78.339499,"72_062"
40.5712157,-78.1386279,"72_064"
40.3760787,-77.6852029,"72_068"
40.7019007,-77.5415709,"72_069"
40.0572077,-77.0638289,"72_070"
40.5680517,-77.3969039,"72_072"
40.7874732,-75.9610008,"72_083"
40.168557,-75.4610252,"72_084"
40.8040057,-75.3435909,"72_086"
39.9302972,-80.0595075,"72_088"
39.8744757,-79.0688169,"72_090"
39.7803177,-78.9557489,"72_091"
39.9160397,-75.8178319,"72_097"
41.4517767,-77.2775949,"72_126"
41.546735,-76.9628251,"72_132"
40.3748197,-79.5781489,"72_151"
40.1983067,-79.2656249,"72_155"
40.3267106,-77.3695842,"72_165"
40.5023917,-76.9345269,"72_173"
40.4295725,-75.2922457,"72_181"
40.2282327,-75.6611919,"72_182"
39.9853173,-79.4174638,"72_189"
39.8666007,-78.1771689,"72_192"
39.9812621,-77.2339653,"72_193"
39.7442404,-77.4911579,"72_194"
39.7690727,-76.4670089,"72_195"
41.6174687,-76.2827769,"72_901"
40.829387,-75.5231529,"72_903"
40.6860806,-77.7742082,"72_904"
40.7036126,-77.9050859,"72_905"
40.6503909,-77.7472321,"72_906"
32.2511024,-81.0334581,"80_003"
34.1944419,-80.2141711,"80_011"
34.6616003,-83.2805093,"80_018"
33.8064239,-82.2729506,"80_021"
32.9525947,-80.2609479,"80_101"
34.5478477,-80.1728969,"80_900"
43.3306215,-96.8856776,"81_001"
43.9499467,-97.4702229,"81_003"
44.2320836,-96.9486732,"81_010"
45.8489747,-97.3322679,"81_018"
45.7331549,-97.7103493,"81_019"
45.8541675,-99.2629045,"81_023"
43.8204584,-103.640174,"81_029"
44.2125557,-101.3067249,"81_030"
43.7410071,-101.9591186,"81_032"
45.545678,-103.0327882,"81_036"
45.8344327,-102.9426799,"81_037"
44.3721307,-101.1351779,"81_041"
43.5869787,-103.7284629,"81_046"
36.4175101,-89.4379279,"82_001"
35.3612207,-89.0787139,"82_006"
35.4115013,-88.5485594,"82_009"
35.3431047,-88.8148959,"82_010"
36.1745577,-86.9969029,"82_013"
35.1607149,-87.6852374,"82_015"
35.8791357,-87.3276749,"82_016"
35.3492078,-87.1440788,"82_017"
36.3259217,-86.3315439,"82_019"
36.5086597,-86.6658089,"82_020"
35.7357596,-86.1676666,"82_023"
36.0984567,-85.7051469,"82_025"
36.5041157,-85.6700349,"82_026"
35.3801394,-85.9158515,"82_027"
35.1735485,-85.6693511,"82_029"
36.4907462,-84.2932022,"82_031"
36.2936637,-84.3613059,"82_032"
35.9135129,-84.1514213,"82_033"
36.0487507,-84.3482669,"82_034"
36.3180044,-82.077152,"82_042"
35.7304657,-83.8099149,"82_139"
26.1912547,-97.3519969,"83_001"
27.6881977,-97.4706489,"83_006"
28.9083337,-95.6139832,"83_011"
28.9215455,-97.9666688,"83_015"
29.6706502,-94.3415601,"83_020"
29.7343527,-94.4007057,"83_021"
29.0185167,-96.9354075,"83_024"
29.7858555,-97.0259942,"83_026"
29.5611028,-99.5393332,"83_031"
30.7110692,-94.9336495,"83_033"
30.9594551,-98.7351553,"83_041"
30.3551169,-99.1490406,"83_042"
30.9858627,-99.4476549,"83_043"
31.8819446,-94.5202804,"83_045"
31.1829158,-97.9068817,"83_051"
31.2869724,-99.5652708,"83_054"
31.5020577,-99.1642919,"83_055"
32.4388568,-94.1555047,"83_057"
32.1649434,-98.0495578,"83_064"
32.9898499,-98.389974,"83_065"
32.2195028,-99.2729117,"83_066"
33.2195339,-95.4858724,"83_071"
33.6818377,-96.7585531,"83_072"
33.0581596,-97.460791,"83_074"
33.5610847,-97.2713009,"83_075"
29.9214837,-101.2407759,"83_081"
29.1904253,-103.0065204,"83_082"
30.1465918,-102.4086864,"83_087"
33.1811653,-101.5601204,"83_092"
33.3441307,-102.9569019,"83_094"
34.2015977,-102.2361909,"83_097"
36.2853161,-101.0402636,"83_103"
30.2495701,-98.0582098,"83_140"
33.3677874,-96.0651288,"83_273"
29.9141577,-94.0432501,"83_311"
29.2133329,-97.1483412,"83_314"
29.0939087,-98.6416779,"83_315"
29.1679858,-103.6103013,"83_319"
30.2009897,-96.6532289,"83_323"
30.5504297,-98.8827669,"83_325"
30.3038597,-99.7103499,"83_326"
30.142815,-101.322565,"83_328"
30.8111277,-103.9442869,"83_331"
31.3255877,-97.2409279,"83_337"
31.2076027,-105.3339159,"83_345"
31.846782,-106.6131975,"83_346"
32.3141319,-97.4981958,"83_351"
33.3563297,-100.6989509,"83_363"
34.3754727,-101.5755389,"83_369"
36.4347007,-100.7308439,"83_374"
26.2449087,-97.3490589,"83_901"
40.4591417,-114.0286489,"85_004"
40.7234797,-109.4702139,"85_008"
39.9004437,-111.9543769,"85_011"
38.4788417,-113.4325409,"85_014"
37.7942977,-113.4586179,"85_019"
37.4140427,-112.7998329,"85_020"
37.8867207,-110.3674399,"85_022"
39.5919247,-111.2646329,"85_034"
40.0358487,-113.9835809,"85_104"
40.3698817,-109.3309479,"85_108"
39.6107407,-113.4837109,"85_109"
39.0822697,-110.6649019,"85_112"
37.8962567,-113.6579899,"85_119"
37.8217747,-111.8435129,"85_121"
37.6748957,-109.4037019,"85_123"
40.8583267,-109.2579279,"85_158"
39.8792347,-113.2671429,"85_159"
41.6247767,-111.7942819,"85_203"
41.2613107,-111.1787939,"85_903"
41.8244667,-111.2935569,"85_904"
41.6398477,-111.3184129,"85_907"
43.8966381,-72.2608612,"87_007"
43.0090337,-73.1953659,"87_008"
43.6132776,-73.0950522,"87_010"
44.4324199,-71.9519914,"87_011"
44.3174883,-72.6267127,"87_014"
44.3378666,-72.4028527,"87_015"
44.563679,-72.3458975,"87_018"
44.5286856,-73.1718258,"87_022"
38.1909534,-79.1647743,"88_004"
38.5758867,-78.5051729,"88_005"
38.8163337,-78.5638129,"88_007"
38.8197554,-78.7489812,"88_008"
38.1740529,-77.2184791,"88_010"
37.0178877,-81.9476239,"88_014"
37.8008166,-80.0474493,"88_015"
37.7014449,-78.7872126,"88_023"
37.2171627,-77.6223439,"88_028"
37.6595013,-76.341428,"88_029"
37.8800004,-76.6789481,"88_030"
36.7674727,-80.1918559,"88_037"
36.6309512,-79.2532438,"88_040"
36.8559727,-78.5908119,"88_041"
36.6079187,-78.0088473,"88_042"
36.6057147,-77.1454409,"88_043"
36.5960851,-77.2865338,"88_044"
37.2315367,-78.2602839,"88_049"
37.1796296,-80.4129866,"88_116"
36.7021737,-82.7480769,"88_134"
37.7588272,-79.291688,"88_900"
37.4990712,-76.4739316,"88_910"
48.2533397,-124.2718359,"89_001"
48.1631507,-122.3354259,"89_003"
48.7004247,-121.2122809,"89_004"
48.3550687,-120.2118449,"89_005"
48.2905657,-117.7774499,"89_008"
47.3475467,-124.2942279,"89_009"
47.0871717,-119.2576519,"89_014"
46.6387037,-121.3902819,"89_019"
46.0599687,-119.9901579,"89_021"
46.3417127,-117.0559849,"89_023"
45.8331357,-121.3533019,"89_025"
48.9733887,-122.1426999,"89_027"
48.5091787,-120.1732639,"89_029"
48.7230457,-119.2720569,"89_030"
48.3856347,-117.2723999,"89_032"
47.5534987,-120.6802069,"89_036"
47.3151767,-119.8794779,"89_037"
47.7717347,-118.8944699,"89_038"
46.2694477,-124.0782779,"89_040"
46.4024557,-121.5554509,"89_043"
46.9554377,-120.5699539,"89_044"
47.1349527,-118.1635439,"89_057"
46.2535997,-121.9808499,"89_060"
46.7412427,-121.9182969,"89_061"
48.5374977,-122.4719929,"89_066"
48.5322757,-120.3033679,"89_068"
46.5431147,-123.4697269,"89_078"
46.8066477,-122.4157869,"89_079"
47.7443857,-121.9848029,"89_111"
48.7003347,-121.2051539,"89_903"
47.4050627,-117.5205149,"89_906"
47.3451457,-122.4583439,"89_907"
48.4552107,-117.5551299,"89_908"
46.0495247,-121.5015249,"89_909"
37.7296134,-80.8195996,"90_001"
37.6627657,-80.3143619,"90_003"
37.5320007,-81.7666849,"90_007"
38.793062,-81.4097591,"90_014"
38.7133034,-81.0222682,"90_016"
38.5848407,-81.7998809,"90_019"
38.7369447,-80.3044289,"90_022"
38.6064757,-80.0236509,"90_023"
38.3420287,-80.3742359,"90_024"
38.8296121,-80.7951792,"90_026"
38.0801867,-80.2288669,"90_027"
38.2958347,-80.5232839,"90_029"
38.3707667,-79.8181159,"90_030"
39.9139422,-80.7304852,"90_037"
39.4199317,-80.2029429,"90_038"
39.652653,-80.7730165,"90_041"
39.5044097,-80.5872959,"90_043"
39.1823897,-78.5094379,"90_048"
39.4422397,-77.8551519,"90_051"
39.7005717,-79.7308869,"90_053"
39.1928067,-80.0991062,"90_140"
39.2175157,-79.2333049,"90_147"
38.9686037,-78.8453529,"90_149"
39.4443357,-78.1386329,"90_150"
38.9091007,-79.6994249,"90_902"
46.3964397,-92.1964109,"91_001"
46.5232187,-91.4282439,"91_002"
46.0670957,-91.8218079,"91_003"
46.3087137,-91.0900569,"91_004"
46.7999037,-90.9468609,"91_005"
46.1105637,-90.7900389,"91_006"
46.1709797,-89.6003879,"91_008"
45.0280407,-92.7478269,"91_009"
45.3718767,-92.6673889,"91_010"
45.5969217,-92.2379749,"91_012"
45.3129597,-91.4793629,"91_014"
45.8737727,-91.2353139,"91_015"
45.7114417,-91.1942679,"91_016"
45.1410957,-90.7920749,"91_017"
45.6572627,-90.1872869,"91_019"
45.3240447,-90.0875099,"91_020"
45.3150927,-89.6369409,"91_022"
45.9284757,-89.1549899,"91_024"
45.4638297,-88.7750249,"91_026"
45.5054967,-88.0179749,"91_028"
45.4469757,-87.8743129,"91_029"
44.6509917,-92.4279399,"91_031"
44.4009957,-91.6793739,"91_033"
44.6989087,-90.0650949,"91_039"
44.6134037,-89.4892659,"91_041"
44.7766037,-89.2453309,"91_042"
44.2134397,-89.0520699,"91_043"
44.4254667,-88.9513789,"91_044"
44.8797447,-88.1726309,"91_045"
44.6191537,-88.7788779,"91_047"
44.0520617,-87.7016689,"91_048"
44.5887327,-87.6425339,"91_049"
43.3269947,-90.7422119,"91_052"
43.7857987,-90.3552409,"91_054"
43.4457507,-89.8669289,"91_055"
43.9129677,-89.1280059,"91_057"
43.3759057,-87.8785709,"91_063"
42.5180847,-90.4357819,"91_065"
42.6391427,-89.9655699,"91_066"
42.9178507,-88.7095809,"91_068"
42.6113857,-88.0517639,"91_069"
42.8005177,-87.9862509,"91_070"
45.0884697,-90.5367439,"91_118"
43.0002617,-89.6668479,"91_167"
46.6330277,-91.9549099,"91_301"
44.7379837,-91.7922969,"91_310"
44.0829597,-89.5982599,"91_312"
44.1095107,-87.8918599,"91_314"
44.3429157,-88.0496139,"91_322"
44.9160067,-110.4156649,"92_001"
44.4668237,-109.1344079,"92_002"
44.3749577,-108.1427379,"92_003"
44.7890327,-106.7184519,"92_005"
44.4252167,-104.4206459,"92_007"
42.1794577,-108.6225589,"92_017"
42.8691687,-106.1200029,"92_019"
42.0167727,-104.2862009,"92_028"
44.8808077,-110.7342539,"92_030"
44.9692707,-108.6212999,"92_035"
44.8406227,-108.3517149,"92_037"
44.09196,-108.700013,"92_038"
44.3157337,-106.9380789,"92_042"
44.2167337,-106.3520049,"92_043"
44.6516797,-106.1303939,"92_044"
44.9497577,-105.6623079,"92_045"
44.6571037,-105.3472599,"92_046"
43.1751987,-111.0315169,"92_051"
43.5337167,-109.6336139,"92_053"
42.4891207,-110.8371659,"92_072"
42.6916837,-109.5205689,"92_075"
42.7370707,-108.8392939,"92_077"
42.5664457,-106.9904259,"92_083"
42.2489347,-106.5688169,"92_084"
42.2409977,-106.4130859,"92_085"
42.4363077,-105.8889389,"92_086"
42.2169227,-105.2973399,"92_087"
42.73286,-105.009503,"92_088"
42.828263,-104.41854,"92_090"
41.6851957,-106.3898999,"92_104"
41.0612707,-106.1463019,"92_105"
42.8372527,-105.8112249,"92_120"
44.5140157,-104.2504959,"92_150"
42.8302007,-110.4214479,"92_173"
44.7718717,-110.4577709,"92_901"
