Latitude,Longitude,U_S_R_I,j_id
34.868687999999900,-87.604141700000000,02_001,10
34.868040399999900,-86.203037100000000,02_007,15
34.027808899999900,-85.711041399999900,02_008,21
33.454955099999900,-86.601091499999900,02_014,55
33.526318500000000,-87.004462300000000,02_017,36
33.476553699999900,-88.171218900000000,02_019,41
32.442715000000000,-87.215833399999900,02_022,91
32.131240699999900,-86.275498900000000,02_024,105
32.659429699999900,-86.701771399999900,02_025,80
32.589024500000000,-86.130777699999900,02_026,81
32.311613100000000,-85.553085300000000,02_027,86
32.885464700000000,-85.204458900000000,02_028,66
32.147307699999900,-85.062644899999900,02_029,96
30.997707200000000,-86.885831600000000,02_035,126
31.318067299999900,-87.120313199999900,02_038,115
33.115604699999900,-87.100753900000000,02_043,65
33.137960700000000,-87.820527400000000,02_047,56
32.680782700000000,-88.122930900000000,02_048,71
31.292607499999900,-88.385159999999900,02_052,120
31.222396900000000,-86.099429499999900,02_054,121
31.667603700000000,-85.650871899999900,02_055,106
33.263825099999900,-87.424138299999900,02_060,50
34.929230699999900,-86.988762899999900,02_072,5
34.212691800000000,-86.473441300000000,02_105,30
33.629635700000000,-85.746657900000000,02_111,31
34.288406700000000,-88.067557899999900,02_201,16
30.803493000000000,-87.637437500000000,02_218,131
34.985987700000000,-114.483115900000000,06_012,150
34.727074700000000,-113.918822899999000,06_013,160
33.656203699999900,-114.216964899999000,06_018,175
33.703474900000000,-112.272336300000000,06_020,166
32.833281499999900,-114.398854600000000,06_024,191
32.928561700000000,-113.541335900000000,06_025,186
32.034340700000000,-110.303115899999000,06_028,201
32.499687700000000,-109.336844900000000,06_029,196
31.517597700000000,-110.794952899999000,06_032,210
34.231817399999900,-113.597547599999000,06_063,161
33.231447699999900,-114.668276000000000,06_068,176
35.554156499999900,-113.376017200000000,06_107,140
35.230795700000000,-112.585967900000000,06_108,141
34.837996400000000,-111.438285500000000,06_115,151
32.958312700000000,-111.333472900000000,06_127,181
33.375575699999900,-93.470687900000000,07_005,290
33.696987700000000,-94.122947900000000,07_007,285
34.926939699999900,-90.506569900000000,07_008,260
34.048739699999900,-91.499541899999900,07_010,280
34.034492700000000,-93.251395900000000,07_013,271
34.970440699999900,-94.044027900000000,07_015,251
35.911460300000000,-91.342635200000000,07_019,225
35.633083700000000,-92.718269899999900,07_020,235
35.426398499999900,-93.664089700000000,07_022,236
35.780677699999900,-93.069640899999900,07_023,216
35.351415899999900,-94.331823600000000,07_024,241
36.120613700000000,-93.280227900000000,07_028,215
34.700808299999900,-91.707737100000000,07_109,261
34.702381500000000,-92.800733300000000,07_111,266
35.159934700000000,-93.424827899999900,07_901,250
35.692342699999900,-93.821031399999900,07_902,230
41.822333200000000,-123.004705500000000,14_001,295
41.101406799999900,-121.257131500000000,14_003,300
35.180060699999900,-119.163901899999000,14_033,305
38.045350700000000,-122.866897899999000,14_071,310
33.220050700000000,-115.484778899999000,14_089,315
33.199086899999900,-116.786285300000000,14_106,316
32.611999699999900,-116.200233900000000,14_137,321
36.050985099999900,-116.500417700000000,14_139,326
41.235146800000000,-120.336829499999000,14_151,331
38.768760700000000,-120.925315900000000,14_153,340
37.514136499999900,-121.159735200000000,14_155,341
39.566485700000000,-123.398291900000000,14_160,346
40.493290299999900,-120.108000599999000,14_162,355
41.733278700000000,-120.375312899999000,14_165,356
41.822400399999900,-122.011114199999000,14_168,365
41.400097899999900,-122.049973399999000,14_175,366
41.819006700000000,-121.069261699999000,14_176,371
41.529575700000000,-120.171851899999000,14_177,380
40.027959699999900,-122.638725899999000,14_179,381
40.201761300000000,-120.623502000000000,14_181,390
39.687836799999900,-123.484892000000000,14_182,395
39.560219699999900,-120.828010899999000,14_185,400
38.549873400000000,-122.719302999999000,14_186,401
38.769411699999900,-120.447386899999000,14_188,406
37.252170300000000,-121.677434099999000,14_189,415
37.983493899999900,-120.645257799999000,14_190,420
37.120121699999900,-119.701369900000000,14_191,425
38.340771699999900,-123.048064900000000,14_193,430
41.740168699999900,-122.633414900000000,14_198,431
40.818849700000000,-121.570036900000000,14_201,436
40.040227899999900,-120.996181800000000,14_415,456
36.010599700000000,-118.121360899999000,14_423,470
40.154163699999900,-120.545340400000000,14_436,465
41.902424699999900,-122.563117899999000,14_900,445
41.520920699999900,-122.520217900000000,14_901,450
41.882434400000000,-123.819296100000000,14_902,455
33.925017699999900,-115.926901900000000,14_907,471
40.153185899999900,-106.874917999999000,17_003,521
40.509082700000000,-105.039229899999000,17_004,501
40.209639600000000,-103.440258000000000,17_006,511
39.400342700000000,-108.812362899999000,17_008,570
39.243807300000000,-106.761065700000000,17_010,590
39.220979600000000,-105.279199399999000,17_011,581
39.379841700000000,-104.369156700000000,17_012,576
39.856885699999900,-103.649376899999000,17_013,541
38.694789000000000,-108.139050699999000,17_015,620
38.513727699999900,-106.755072900000000,17_017,611
38.143771700000000,-102.521232900000000,17_021,631
37.214950700000000,-107.791808900000000,17_023,690
40.065300600000000,-108.415387100000000,17_031,536
40.138025599999900,-107.969771899999000,17_032,526
40.879684699999900,-106.459189899999000,17_033,500
40.263114700000000,-102.718207899999000,17_037,520
39.840758700000000,-104.188667899999000,17_042,550
39.388307699999900,-102.427451899999000,17_044,595
38.592051699999900,-106.917497900000000,17_046,606
38.511252100000000,-106.554206100000000,17_047,625
38.982810999999900,-105.574673799999000,17_048,600
38.694517699999900,-104.071593899999000,17_049,605
37.790748700000000,-108.020438900000000,17_052,655
37.181084900000000,-105.745964599999000,17_055,671
37.218270699999900,-103.520469899999000,17_057,666
37.105213700000000,-102.579658899999000,17_058,685
37.625666699999900,-104.310065899999000,17_126,665
40.210172700000000,-107.033140399999000,17_202,535
40.856615699999900,-104.542014899999000,17_205,480
40.614144699999900,-102.084564900000000,17_207,486
39.646814800000000,-107.616966199999000,17_209,551
39.373984999999900,-103.786723699999000,17_213,571
38.367403699999900,-105.229072900000000,17_218,640
38.295868800000000,-102.738116599999000,17_221,630
37.780185699999900,-108.088844899999000,17_222,654
37.520184700000000,-103.111289900000000,17_227,660
37.164008699999900,-102.276649899999000,17_228,680
40.862700500000000,-104.639007300000000,17_305,495
40.349269700000000,-103.799766899999000,17_306,506
39.443327699999900,-108.954894899999000,17_308,565
39.723853699999900,-104.377353499999000,17_312,560
38.068776700000000,-108.460830900000000,17_315,645
40.812062699999900,-104.791221899999000,17_901,481
41.702603699999900,-72.515996900000000,18_003,701
41.777187699999900,-72.135404899999900,18_007,696
41.549344300000000,-73.216739200000000,18_008,711
41.538712699999900,-73.500939900000000,18_009,720
41.583297700000000,-72.851232899999900,18_015,706
41.737878799999900,-72.927042200000000,18_102,691
39.500303700000000,-75.686067899999900,21_001,725
38.959441699999900,-75.536611899999900,21_003,731
38.748053700000000,-75.289948899999900,21_010,726
38.732403699999900,-75.463850899999900,21_109,740
30.929181199999900,-87.407943399999900,25_001,760
30.528840400000000,-85.133454099999900,25_004,790
30.337249700000000,-85.286978899999900,25_005,775
30.273463199999900,-83.856968400000000,25_010,781
29.668698899999900,-83.378206199999900,25_011,816
29.191619899999900,-82.394801999999900,25_014,836
29.987764100000000,-84.976287900000000,25_015,815
29.889942699999900,-81.343811900000000,25_018,810
29.897069699999900,-81.834304900000000,25_021,830
28.178840699999900,-81.860565899999900,25_022,851
27.323286599999900,-81.418950300000000,25_024,875
28.748118699999900,-80.871230900000000,25_025,850
27.661037199999900,-82.146228600000000,25_027,870
26.965732299999900,-80.385463500000000,25_031,876
30.253198900000000,-82.162354600000000,25_037,795
30.720928900000000,-86.786049399999900,25_052,746
30.718479700000000,-86.116069600000000,25_053,755
30.533547400000000,-85.242641500000000,25_054,761
30.949810700000000,-85.741989899999900,25_055,741
30.292950800000000,-83.667605300000000,25_056,776
29.946822600000000,-84.340942999999900,25_062,805
28.647107200000000,-82.171936700000000,25_066,845
27.761154600000000,-81.453635300000000,25_073,856
26.558754900000000,-81.126711000000000,25_081,890
30.324257800000000,-85.005208499999900,25_108,766
29.455357400000000,-82.119094000000000,25_113,835
25.138871600000000,-80.933533299999900,25_135,900
27.861075199999900,-80.448997700000000,25_175,861
30.263444499999900,-84.655224200000000,25_901,800
26.335390600000000,-80.539901799999900,25_912,895
26.994129699999900,-80.573767399999900,25_919,881
29.679682900000000,-85.215292000000000,25_921,821
30.873381699999900,-81.575507900000000,27_001,975
31.745647699999900,-84.719894900000000,27_010,965
32.736631400000000,-82.765286500000000,27_013,950
31.290612700000000,-84.405806900000000,27_021,966
34.054525400000000,-84.786855900000000,27_027,911
33.519704500000000,-83.095734100000000,27_031,930
33.487653799999900,-82.199712800000000,27_032,921
32.182329699999900,-84.268279899999900,27_033,960
33.538199499999900,-85.253356699999900,27_036,920
34.764270699999900,-84.068709900000000,27_040,906
34.917277700000000,-83.407478900000000,27_041,905
33.105314499999900,-83.812212500000000,27_046,935
33.029122899999900,-82.830970399999900,27_048,936
32.174704300000000,-82.952980100000000,27_050,951
32.889969999999900,-82.367203700000000,27_051,945
30.665321700000000,-83.801119999999900,27_057,976
48.581791699999900,-116.397490899999000,33_001,981
47.250527200000000,-115.810926800000000,33_003,986
45.034109500000000,-113.562482900000000,33_010,991
44.457203399999900,-115.097970200000000,33_012,996
44.722358999999900,-113.520360499999000,33_014,1001
43.455340999999900,-116.096200499999000,33_017,1006
43.461931900000000,-113.563000599999000,33_020,1011
43.534311600000000,-111.701027199999000,33_022,1016
42.331156399999900,-114.279453200000000,33_025,1021
42.854816599999900,-112.519388000000000,33_027,1026
48.479789699999900,-116.849250900000000,33_029,1031
44.413896100000000,-116.031561100000000,33_111,1036
42.953921999999900,-115.212457299999000,33_124,1041
42.961315399999900,-111.718550800000000,33_128,1046
45.342079200000000,-115.947593900000000,33_208,1051
44.195700199999900,-116.508725400000000,33_211,1056
44.960084700000000,-115.493347900000000,33_212,1061
44.233000400000000,-113.370482400000000,33_214,1066
43.413513199999900,-115.361024499999000,33_218,1071
43.400782100000000,-114.252263999999000,33_219,1076
43.338726500000000,-113.874362099999000,33_220,1081
43.812426700000000,-112.396011900000000,33_221,1086
43.824816200000000,-111.200610600000000,33_222,1091
42.431685000000000,-114.088832199999000,33_225,1096
43.521597000000000,-112.650360000000000,33_901,1101
43.743192000000000,-112.842386899999000,33_903,1106
43.560201900000000,-112.872158799999000,33_904,1111
42.159317700000000,-89.332150200000000,34_002,1125
42.071105699999900,-89.075631200000000,34_003,1135
41.184933299999900,-89.456860899999900,34_009,1195
41.335622600000000,-89.708596499999900,34_011,1190
41.650225399999900,-89.017572500000000,34_012,1141
41.083481800000000,-88.832571799999900,34_013,1171
41.933584699999900,-88.187980899999900,34_014,1136
41.166340699999900,-88.185281900000000,34_015,1185
41.530721999999900,-88.574321400000000,34_016,1150
41.218766400000000,-87.581602700000000,34_017,1170
41.468659100000000,-87.964599000000000,34_018,1155
40.213720500000000,-91.182997799999900,34_020,1241
40.651449700000000,-90.981401899999900,34_022,1216
40.917076199999900,-90.033151599999900,34_023,1230
40.860288099999900,-90.508779399999900,34_024,1210
40.930548799999900,-89.793884100000000,34_026,1196
40.604546399999900,-89.317516699999900,34_027,1235
40.927549800000000,-88.950689999999900,34_029,1225
40.078781700000000,-88.558479899999900,34_030,1251
40.714384600000000,-88.563768199999900,34_031,1211
40.898532799999900,-88.675428400000000,34_032,1201
39.989798800000000,-90.345120899999900,34_036,1265
39.418724099999900,-90.166004099999900,34_037,1290
39.799576999999900,-90.410910400000000,34_038,1280
39.575367800000000,-89.515808800000000,34_040,1275
39.480084099999900,-89.269007099999900,34_041,1285
39.399867399999900,-89.204984400000000,34_042,1295
39.314920399999900,-88.195176000000000,34_046,1305
39.615329799999900,-88.386564899999900,34_047,1266
38.385182800000000,-90.258732600000000,34_049,1340
38.525620099999900,-89.819342199999900,34_050,1345
38.698136699999900,-89.536483599999900,34_051,1315
38.669971699999900,-89.660244399999900,34_052,1321
38.351197800000000,-89.294302599999900,34_053,1326
38.677290399999900,-88.428735599999900,34_057,1316
37.232591399999900,-89.235268500000000,34_059,1371
37.970843299999900,-89.747509100000000,34_060,1355
37.319886099999900,-88.943778199999900,34_061,1361
37.599724799999900,-88.506358899999900,34_062,1360
37.073041699999900,-88.519303300000000,34_063,1376
42.140161599999900,-89.764886099999900,34_065,1126
42.399475400000000,-88.915467399999900,34_066,1116
41.341060300000000,-90.530771900000000,34_067,1176
41.484455199999900,-89.083386899999900,34_068,1160
41.311436000000000,-88.590346400000000,34_069,1161
40.057240499999900,-91.127304800000000,34_070,1260
40.304523900000000,-90.135720699999900,34_071,1240
40.083993599999900,-89.824975699999900,34_072,1246
39.288838499999900,-90.550607999999900,34_074,1296
39.398800199999900,-89.831311799999900,34_075,1310
38.320123000000000,-89.703702800000000,34_078,1331
38.039391600000000,-88.208110399999900,34_079,1350
37.202654799999900,-89.274296000000000,34_080,1366
41.025488699999900,-86.280837899999900,35_005,1400
41.725907700000000,-85.676010899999900,35_006,1386
41.602456699999900,-84.939407900000000,35_009,1381
40.679077900000000,-87.363399299999900,35_010,1411
40.407649100000000,-87.036121600000000,35_011,1416
40.707850700000000,-86.813963900000000,35_012,1406
40.584265100000000,-86.184219799999900,35_013,1401
40.149518700000000,-86.695925599999900,35_014,1421
40.033044699999900,-85.544974900000000,35_016,1426
39.331986700000000,-87.374335900000000,35_021,1445
39.533020499999900,-87.143875600000000,35_022,1435
39.079142900000000,-86.342984900000000,35_023,1436
38.774466699999900,-86.764778899999900,35_035,1451
38.663126699999900,-85.941039900000000,35_038,1465
38.267294300000000,-86.146359200000000,35_039,1470
38.779582599999900,-85.094069300000000,35_040,1450
38.634715600000000,-85.747169900000000,35_041,1456
41.636888700000000,-86.365515900000000,35_103,1395
40.769892200000000,-91.679796300000000,36_001,1555
40.652733200000000,-92.886480399999900,36_002,1541
40.888710500000000,-93.171742699999900,36_003,1536
40.571256699999900,-94.642683899999900,36_004,1546
41.975174699999900,-90.296415900000000,36_006,1510
41.568738900000000,-91.270383800000000,36_007,1525
41.658601699999900,-94.144454899999900,36_013,1516
41.717632700000000,-94.086188899999900,36_014,1511
41.448366700000000,-95.726530900000000,36_015,1530
41.131129199999900,-95.346618599999900,36_016,1535
42.966333400000000,-93.852496299999900,36_022,1490
42.041859000000000,-94.571273000000000,36_024,1505
42.490243700000000,-96.374381900000000,36_028,1495
43.238851699999900,-94.009513900000000,36_032,1485
43.040521699999900,-95.584473900000000,36_033,1476
43.257469700000000,-96.275688900000000,36_034,1475
42.166380699999900,-93.346960899999900,36_123,1500
37.032138099999900,-94.995042400000000,38_001,1661
37.849332699999900,-95.500815900000000,38_003,1630
37.984754700000000,-96.393615900000000,38_004,1611
37.319035200000000,-97.349158000000000,38_006,1631
37.232208700000000,-97.258202900000000,38_007,1655
37.927184699999900,-98.830328899999900,38_008,1621
37.164522699999900,-99.272292899999900,38_010,1646
37.133408699999900,-99.741317899999900,38_011,1656
37.958925700000000,-101.431648899999000,38_012,1616
38.993952700000000,-96.900260900000000,38_016,1586
38.362323400000000,-96.560573300000000,38_017,1610
38.463655299999900,-98.977636300000000,38_020,1601
38.551510700000000,-98.035192899999900,38_021,1600
39.583102400000000,-100.329592500000000,38_025,1575
39.080543800000000,-95.567104200000000,38_026,1585
39.251508000000000,-95.534736899999900,38_027,1576
39.900080699999900,-96.871140900000000,38_028,1561
39.769090599999900,-96.026951900000000,38_029,1566
39.936755300000000,-97.012414399999900,38_030,1556
37.314393699999900,-100.435087899999000,38_037,1636
37.300344699999900,-96.101227899999900,38_105,1645
38.914732700000000,-97.368751900000000,38_118,1595
36.608285700000000,-83.701797900000000,39_001,1741
36.906837500000000,-88.862263799999900,39_002,1750
36.689626699999900,-88.180875900000000,39_003,1730
36.664254999999900,-87.008871299999900,39_005,1736
36.990746899999900,-86.631415200000000,39_006,1720
36.819437700000000,-85.716995900000000,39_008,1711
36.700780700000000,-85.269935899999900,39_009,1735
36.821168700000000,-84.833990900000000,39_011,1725
37.390467999999900,-84.661233199999900,39_021,1710
37.984966800000000,-84.813705400000000,39_023,1685
37.412645699999900,-85.128409899999900,39_025,1700
37.819985500000000,-86.896159299999900,39_029,1695
37.716359699999900,-87.694748899999900,39_035,1686
37.329942699999900,-88.326157899999900,39_036,1705
38.434495699999900,-84.163363700000000,39_040,1666
38.205149300000000,-83.929576299999900,39_044,1676
38.269811699999900,-85.204261900000000,39_137,1671
30.880125100000000,-90.249154099999900,42_010,1776
30.831572699999900,-93.318428900000000,42_016,1785
31.188727499999900,-91.671576500000000,42_017,1766
31.979295799999900,-91.444043500000000,42_018,1765
32.460268700000000,-92.621588900000000,42_026,1760
30.398603699999900,-91.510116900000000,42_033,1795
32.485677600000000,-91.426971899999900,42_038,1751
29.692489800000000,-89.966946100000000,42_101,1801
29.755959699999900,-90.558830900000000,42_104,1796
31.066092800000000,-93.495841900000000,42_122,1771
30.412879600000000,-91.195709500000000,42_903,1790
43.499424699999900,-70.515009899999900,44_003,1841
44.925816699999900,-70.957991899999900,44_006,1830
44.626172699999900,-70.961407899999900,44_007,1835
44.334029700000000,-70.290825900000000,44_013,1836
44.987619899999900,-69.436020799999900,44_019,1821
45.077683399999900,-70.212882300000000,44_032,1816
45.613321700000000,-68.533044899999900,44_041,1815
46.551402500000000,-68.780581100000000,44_056,1806
39.504146800000000,-79.155778499999900,46_001,1846
39.438784300000000,-79.169865900000000,46_003,1855
39.542931199999900,-78.601479100000000,46_004,1926
39.612971700000000,-77.865501899999900,46_006,1931
39.578000899999900,-77.548997099999900,46_008,1856
39.714835899999900,-77.330434699999900,46_009,1936
39.151445699999900,-77.093026899999900,46_011,1861
39.516536000000000,-77.038430399999900,46_013,1866
39.642312099999900,-77.023622799999900,46_014,1871
39.635962399999900,-76.969279200000000,46_015,1876
39.551570499999900,-76.813789600000000,46_016,1941
38.602138699999900,-77.078034900000000,46_030,1885
38.596074199999900,-77.055873199999900,46_031,1946
